text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @khybereena: #WeStandWithFIA 
is helping us to show your real face to the world
(full of hatred
and bigoted remarks)
This is making us s…",FALSE,0,NA,2018-11-30T18:53:00Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Main_Imrann,70,TRUE,FALSE,NA,NA
RT @jahan_virk: #WeStandWithFIA The state of Pakistan must act this time.. https://t.co/DClrBIMQSx,FALSE,0,NA,2018-11-30T18:52:59Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rockniik,50,TRUE,FALSE,NA,NA
RT @jahan_virk: #WeStandWithFIA #PTM PTM is part of hybrid war against Pakistan only. It is created to push Pakistani Pukhtuns into identit…,FALSE,0,NA,2018-11-30T18:52:59Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shakeeldarwesh1,76,TRUE,FALSE,NA,NA
RT @abidamunir110: Horrible scenes from Afghanistan ..sadly no one is speaking against this ..because is py baat kr k $ ni milain gy ..Sham…,FALSE,0,NA,2018-11-30T18:52:56Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rockniik,46,TRUE,FALSE,NA,NA
RT @Gillsab027: NATO Airstrike kills 30 Pashtuns Including an entire Pashtun family who have been killed in the airstrike in southern Afgha…,FALSE,0,NA,2018-11-30T18:52:56Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Um_e_Rubab,68,TRUE,FALSE,NA,NA
"RT @MOwaisHF: We Stand With Our Institutions 😍👌💪🇵🇰 !!
#WeStandWithFIA https://t.co/HosBkuoSBx",FALSE,0,NA,2018-11-30T18:52:52Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",khanjeezai,15,TRUE,FALSE,NA,NA
"RT @AnjumIqbalPTI: Its TRRRRENDING TIME

Dear ALL

Trend now on

#WeStandWithFIA https://t.co/drlAC7r9i2",FALSE,0,NA,2018-11-30T18:52:52Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rockniik,41,TRUE,FALSE,NA,NA
RT @jahan_virk: #WeStandWithFIA FIA has placed them in ECL. They were  given many reasons about why are they placed in ECL. https://t.co/BF…,FALSE,0,NA,2018-11-30T18:52:50Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shakeeldarwesh1,148,TRUE,FALSE,NA,NA
RT @jahan_virk: #WeStandWithFIA Just heard that @mjdawar and @Aliwazirna50 have been put on Exit Control List. Another Friday another good…,FALSE,0,NA,2018-11-30T18:52:49Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Um_e_Rubab,57,TRUE,FALSE,NA,NA
"RT @SajidaPTI: #WeStandWithFIA
 PTM is just using name.of Pakhtoons ... They r not actually interested in them https://t.co/5VjvD84vaj",FALSE,0,NA,2018-11-30T18:52:49Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rockniik,47,TRUE,FALSE,NA,NA
