text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @Pashtunism333: Protest Outside of FIA Office in #Peshawar for the Release of @Aliwazirna50 &amp; @mjdawar
#ShameOnFIA 
@a_baittani @gabeeno…",FALSE,0,NA,2018-12-01T11:01:22Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bashambalaj,84,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T11:00:23Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bazai_atta,866,TRUE,FALSE,NA,NA
"RT @HamidMandokhail: Pashtun Youth Out from Houses &amp; Continue Protest infont of FIA Office in #Peshawar For Release MNA's 
@mjdawar &amp; @Aliw…",FALSE,0,NA,2018-12-01T10:57:59Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",khatirwazeer,182,TRUE,FALSE,NA,NA
"RT @khybereena: Its not that Ali wazir and Mohsin Dawar were goin for PTM cause
Its that they are in custody because of PTM
Its that our pe…",FALSE,0,NA,2018-12-01T10:55:12Z,FALSE,NA,1.06882E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",sarwarkakar7,158,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T10:53:37Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fazalra21698068,866,TRUE,FALSE,NA,NA
"RT @waheedkhan47: We will stand with our Leaders and our pride @mjdawar and @Aliwazirna50 till the end. Together we are strong.
#ShameOnFIA…",FALSE,0,NA,2018-12-01T10:53:18Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FazalAkhan,49,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T10:52:59Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",junaidzamn,866,TRUE,FALSE,NA,NA
RT @Mobinamalala: Meanwhile a youthia proving himelf to be a youthia second by second ... this is so hurtful that people are ok with instit…,FALSE,0,NA,2018-12-01T10:51:59Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AliJanArain4,87,TRUE,FALSE,NA,NA
RT @Mobinamalala: Meanwhile a youthia proving himelf to be a youthia second by second ... this is so hurtful that people are ok with instit…,FALSE,0,NA,2018-12-01T10:51:16Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",waqasahmadmian,87,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T10:49:07Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ahmadzia04,866,TRUE,FALSE,NA,NA
"RT @PakPolStats: Trends 30 November 2018:
1 #WeStandWithFIA
2 #ShameOnFIA
3 #ہم_مصروف_تھے
4 #PPP51
5 #یوم_تاسیس
-
#PTI #PMLN #PPP https://t…",FALSE,0,NA,2018-12-01T10:49:07Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",wisaal_e_Yar,3,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T10:48:47Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Jazz72327278,866,TRUE,FALSE,NA,NA
"RT @PakPolStats: Trends 30 November 2018:
1 #WeStandWithFIA
2 #ShameOnFIA
3 #ہم_مصروف_تھے
4 #PPP51
5 #یوم_تاسیس
-
#PTI #PMLN #PPP https://t…",FALSE,0,NA,2018-12-01T10:48:18Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AdnanMalik2626,3,TRUE,FALSE,NA,NA
"RT @khanzamankakar: Thank you PTM. We are a family.
#ShameOnFIA #PashtunRejectStateTerrorism",FALSE,0,NA,2018-12-01T10:48:12Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",gandhibach,83,TRUE,FALSE,NA,NA
RT @Mobinamalala: Meanwhile a youthia proving himelf to be a youthia second by second ... this is so hurtful that people are ok with instit…,FALSE,0,NA,2018-12-01T10:48:08Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",abbasnasir59,87,TRUE,FALSE,NA,NA
"RT @HamidMandokhail: Pashtun Youth Out from Houses &amp; Continue Protest infont of FIA Office in #Peshawar For Release MNA's 
@mjdawar &amp; @Aliw…",FALSE,0,NA,2018-12-01T10:45:15Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Saharghuman,182,TRUE,FALSE,NA,NA
"RT @SirajDawar4: Kalia shame on your brutal act of #FIA ,which play yesterday on Peshawar airport with #PTM Leadership. you will be always…",FALSE,0,NA,2018-12-01T10:42:18Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mhassansafdar,2,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T10:39:48Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AmirAfr78,866,TRUE,FALSE,NA,NA
"RT @SirajDawar4: Kalia shame on your brutal act of #FIA ,which play yesterday on Peshawar airport with #PTM Leadership. you will be always…",FALSE,0,NA,2018-12-01T10:36:13Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",wasim936,2,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T10:34:34Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Jyotika_dubai,866,TRUE,FALSE,NA,NA
"Kalia shame on your brutal act of #FIA ,which play yesterday on Peshawar airport with #PTM Leadership. you will be… https://t.co/WtJGpaCyv1",FALSE,0,NA,2018-12-01T10:34:13Z,TRUE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SirajDawar4,2,FALSE,FALSE,NA,NA
"RT @IlyasAfridi9122: We Are Fight For Our Right 

@Aliwazirna50
@mjdawar 

#ShameOnFIA",FALSE,0,NA,2018-12-01T10:31:17Z,FALSE,NA,1.06881E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",asmasha61,14,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T10:30:04Z,FALSE,NA,1.06881E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NadeemC71100089,866,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T10:29:43Z,FALSE,NA,1.06881E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SajjadK52762586,866,TRUE,FALSE,NA,NA
"RT @Pashteenxalmai: Power of unity 💪
After the strong &amp; severe response of pashtun's, state got forced to release our brave comrades ❤️
@mj…",FALSE,0,NA,2018-12-01T10:28:39Z,FALSE,NA,1.06881E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",AlviSallu,139,TRUE,FALSE,NA,NA
"RT @ismatshahjehan: This is not just about PTM, @Aliwazirna50 and @mjdawar.This is about security politics, state repression &amp; national opp…",FALSE,0,NA,2018-12-01T10:28:30Z,FALSE,NA,1.06881E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jaani81850414,317,TRUE,FALSE,NA,NA
"RT @sanaejaz2: Yesterday students at #StudentsSolidarityMarch were holding posters/baners with a slongan like 
 میں بھی تو مشال ہوں
#Mashal…",FALSE,0,NA,2018-12-01T10:28:12Z,FALSE,NA,1.06881E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HaiderKaleemB,26,TRUE,FALSE,NA,NA
RT @justice4pashtun: Nothing has changed for Pashtun since Bacha Khan started reformist movement in1910. The state that inherited the Raj l…,FALSE,0,NA,2018-12-01T10:24:55Z,FALSE,NA,1.06881E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",znanjiani,25,TRUE,FALSE,NA,NA
"RT @asif_solangi593: Bill Gates #ShameOnFIA  #WeStandWithFIA  #AdiosColosal  #SindhiCulturalDay  #Teleton2018   Lino
Sindh CultureDAY !!
2…",FALSE,0,NA,2018-12-01T10:24:52Z,FALSE,NA,1.06881E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShamshadLashari,5,TRUE,FALSE,NA,NA
