text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @FarhatullahB: CM Sindh has ordered withdrawal of expulsion order of Manzoor Pashteen. Thank you Chairman BBZ, CM Murad. It is not victo…",FALSE,0,NA,2018-12-08T18:00:26Z,FALSE,NA,1.07146E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AsifPatyal,444,TRUE,FALSE,NA,NA
"RT @FarhatullahB: CM Sindh has ordered withdrawal of expulsion order of Manzoor Pashteen. Thank you Chairman BBZ, CM Murad. It is not victo…",FALSE,0,NA,2018-12-08T18:00:25Z,FALSE,NA,1.07146E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GhoriMuhammed,444,TRUE,FALSE,NA,NA
RT @iopyne: Courageous step by Sindh govt to withdraw notification against Manzoor Pashteen. It is certain that their hand was being forced…,FALSE,0,NA,2018-12-08T18:00:19Z,FALSE,NA,1.07146E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",malihaakhan001,111,TRUE,FALSE,NA,NA
RT @FarhatullahB: Notification withdrawing earlier order expelling Manzoor Pashteen from province issued by Sindh government tonight. https…,FALSE,0,NA,2018-12-08T17:59:50Z,FALSE,NA,1.07146E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shayanpashteen,197,TRUE,FALSE,NA,NA
"RT @FarhatullahB: CM Sindh has ordered withdrawal of expulsion order of Manzoor Pashteen. Thank you Chairman BBZ, CM Murad. It is not victo…",FALSE,0,NA,2018-12-08T17:59:49Z,FALSE,NA,1.07146E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",WahidPitafi,444,TRUE,FALSE,NA,NA
Withdraw notification from #Sindh govt about the expulsion of Manzoor Pashteen #PTM https://t.co/vHfaSDWP4G,FALSE,0,NA,2018-12-08T17:59:47Z,FALSE,NA,1.07146E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FazalAziz,0,FALSE,FALSE,NA,NA
RT @FarhatullahB: Notification withdrawing earlier order expelling Manzoor Pashteen from province issued by Sindh government tonight. https…,FALSE,0,NA,2018-12-08T17:58:38Z,FALSE,NA,1.07146E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KhalidHaider88,197,TRUE,FALSE,NA,NA
RT @FarhatullahB: Notification withdrawing earlier order expelling Manzoor Pashteen from province issued by Sindh government tonight. https…,FALSE,0,NA,2018-12-08T17:58:35Z,FALSE,NA,1.07146E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ianosha,197,TRUE,FALSE,NA,NA
@kamirashidrana Rooz 3ree tyms 😐😂😂,FALSE,0,kamirashidrana,2018-12-08T17:58:15Z,FALSE,1.07144E+18,1.07146E+18,9.16859E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Pashteen_yem,0,FALSE,FALSE,NA,NA
"RT @FarhatullahB: CM Sindh has ordered withdrawal of expulsion order of Manzoor Pashteen. Thank you Chairman BBZ, CM Murad. It is not victo…",FALSE,0,NA,2018-12-08T17:57:13Z,FALSE,NA,1.07146E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",a_siab,444,TRUE,FALSE,NA,NA
